MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50
,,,,,,,,,,,543007020,7/8nx6-20' Whiskey Barrel Sq Edge - Trex Select 2.0 Decking,TREX,,,Boise Cascade Building Materials (BOICA),Trex Company,GE,,543007020,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"Trex Company GE, Dishwasher, Professional Series, 543007020",DISHWASHER LEG 5 SST 120V 15A 50-1/4IN,"GE, Professional Series, 543007020, Dishwasher, Leg Mounting, 5.0-Wash Cycle, Stainless Steel","GE Dishwasher, Professional Series, 5 Wash Cycles, 120 V, 15 A, Leg Mounting, 24 in W x 24-1/4 in D, 50-1/4 in Depth With Door Open, 47 dBA Sound Level, Stainless Steel","Professional Series Dishwasher, Leg Mounting, Stainless Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwasher,Series,Professional Series,,Model,,,Number of Wash Cycles,5.0,,Voltage Rating,120,V,Amperage Rating,15,A,Mounting Type,Leg,,Plug Type,,,Size,24 in W x 24-1/4 in D,,Depth With Door Open,50-1/4,in,Minimum Height,,,Maximum Height,,,Sound Level,47,dBA,Material,Stainless Steel,,Color,Stainless Steel,,Additional Information,,,Width,,,Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543007412,7/8nx6-12' Whiskey Barrel Grooved - Trex Select 2.0 Decking,TREX,,,Boise Cascade Building Materials (BOICA),Trex Company,Trex,,543007412,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"Trex Company Trex, Dishwasher, Professional Series, 543007412",DISHWASHER LEG 5 SST 120V 15A 50-1/4IN,"Trex, Professional Series, 543007412, Dishwasher, Leg Mounting, 5.0-Wash Cycle, Stainless Steel","Trex Dishwasher, Professional Series, 5 Wash Cycles, 120 V, 15 A, Leg Mounting, 24 in W x 24-1/4 in D, 50-1/4 in Depth With Door Open, 47 dBA Sound Level, Stainless Steel","Professional Series Dishwasher, Leg Mounting, Stainless Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwasher,Series,Professional Series,,Model,,,Number of Wash Cycles,5.0,,Voltage Rating,120,V,Amperage Rating,15,A,Mounting Type,Leg,,Plug Type,,,Size,24 in W x 24-1/4 in D,,Depth With Door Open,50-1/4,in,Minimum Height,,,Maximum Height,,,Sound Level,47,dBA,Material,Stainless Steel,,Color,Stainless Steel,,Additional Information,,,Width,,,Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543007416,7/8nx6-16' Whiskey Barrel Grooved - Trex Select 2.0 Decking,TREX,,,Boise Cascade Building Materials (BOICA),Trex Company,Trex,,543007416,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"Trex Company Trex, Dishwasher, Professional Series, 543007416",DISHWASHER LEG 5 SST 120V 15A 50-1/4IN,"Trex, Professional Series, 543007416, Dishwasher, Leg Mounting, 5.0-Wash Cycle, Stainless Steel","Trex Dishwasher, Professional Series, 5 Wash Cycles, 120 V, 15 A, Leg Mounting, 24 in W x 24-1/4 in D, 50-1/4 in Depth With Door Open, 47 dBA Sound Level, Stainless Steel","Professional Series Dishwasher, Leg Mounting, Stainless Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwasher,Series,Professional Series,,Model,,,Number of Wash Cycles,5.0,,Voltage Rating,120,V,Amperage Rating,15,A,Mounting Type,Leg,,Plug Type,,,Size,24 in W x 24-1/4 in D,,Depth With Door Open,50-1/4,in,Minimum Height,,,Maximum Height,,,Sound Level,47,dBA,Material,Stainless Steel,,Color,Stainless Steel,,Additional Information,,,Width,,,Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543007420,7/8nx6-20' Whiskey Barrel Grooved - Trex Select 2.0 Decking,TREX,,,Boise Cascade Building Materials (BOICA),Trex Company,Trex,,543007420,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"Trex Company Trex, Dishwasher, Professional Series, 543007420",DISHWASHER LEG 5 SST 120V 15A 50-1/4IN,"Trex, Professional Series, 543007420, Dishwasher, Leg Mounting, 5.0-Wash Cycle, Stainless Steel","Trex Dishwasher, Professional Series, 5 Wash Cycles, 120 V, 15 A, Leg Mounting, 24 in W x 24-1/4 in D, 50-1/4 in Depth With Door Open, 47 dBA Sound Level, Stainless Steel","Professional Series Dishwasher, Leg Mounting, Stainless Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwasher,Series,Professional Series,,Model,,,Number of Wash Cycles,5.0,,Voltage Rating,120,V,Amperage Rating,15,A,Mounting Type,Leg,,Plug Type,,,Size,24 in W x 24-1/4 in D,,Depth With Door Open,50-1/4,in,Minimum Height,,,Maximum Height,,,Sound Level,47,dBA,Material,Stainless Steel,,Color,Stainless Steel,,Additional Information,,,Width,,,Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ADR5117512CS,1x12-12' Coastline - Vintage Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TimberTech,GE,,ADR5117512CS,,Building Materials>Decking & Railing>Composite Decking,"TimberTech, GE, Product, ADR5117512CS",GE PRODUCT ADR5117512CS,"GE, ADR5117512CS, Product","GE, Product, Model ADR5117512CS","GE, Product",,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Line,,,Profile,,,Length,,,Color,,,Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ADR5117512MH,1x12-12' Mahogany - Vintage Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TimberTech,GE,,ADR5117512MH,,,"TimberTech, GE, Product, ADR5117512MH",GE PRODUCT ADR5117512MH,"GE, ADR5117512MH, Product","GE, Product, Model ADR5117512MH","GE, Product",,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Series,,,Mounting Type,,,Number of Wash Cycles,,,Voltage Rating,,,Amperage Rating,,,Material,,,Color,,,Sound Level,,,Depth With Door Open,,,Width,,,Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ADR5117512WT,1x12-12' Weathered Teak - Vintage Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TimberTech,GE,,ADR5117512WT,,,"TimberTech, GE, Product, ADR5117512WT",GE PRODUCT ADR5117512WT,"GE, ADR5117512WT, Product","GE, Product, Model ADR5117512WT","GE, Product",,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Series,,,Mounting Type,,,Number of Wash Cycles,,,Voltage Rating,,,Amperage Rating,,,Material,,,Color,,,Sound Level,,,Depth With Door Open,,,Width,,,Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ADR5117512AW,1x12-12' American Walnut - Landmark Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TimberTech,AZEK,,ADR5117512AW,,,"TimberTech, AZEK, Product, ADR5117512AW",AZEK PRODUCT ADR5117512AW,"AZEK, ADR5117512AW, Product","AZEK, Product, Model ADR5117512AW","AZEK, Product",,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Series,,,Mounting Type,,,Number of Wash Cycles,,,Voltage Rating,,,Amperage Rating,,,Material,,,Color,,,Sound Level,,,Depth With Door Open,,,Width,,,Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ADR5117512CG,1x12-12' Castle Gate - Landmark Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TimberTech,AZEK,,ADR5117512CG,,,"TimberTech, AZEK, Product, ADR5117512CG",AZEK PRODUCT ADR5117512CG,"AZEK, ADR5117512CG, Product","AZEK, Product, Model ADR5117512CG","AZEK, Product",,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Series,,,Mounting Type,,,Number of Wash Cycles,,,Voltage Rating,,,Amperage Rating,,,Material,,,Color,,,Sound Level,,,Depth With Door Open,,,Width,,,Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ADR5117512FW,1x12-12' French White Oak - Landmark Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TimberTech,AZEK,,ADR5117512FW,,,"TimberTech, AZEK, Product, ADR5117512FW",AZEK PRODUCT ADR5117512FW,"AZEK, ADR5117512FW, Product","AZEK, Product, Model ADR5117512FW","AZEK, Product",,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Series,,,Mounting Type,,,Number of Wash Cycles,,,Voltage Rating,,,Amperage Rating,,,Material,,,Color,,,Sound Level,,,Depth With Door Open,,,Width,,,Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1508395,1x8-12' Brownstone - Harvest Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TimberTech,AZEK,,1508395,,,"TimberTech, AZEK, Product, 1508395",AZEK PRODUCT 1508395,"AZEK, 1508395, Product","AZEK, Product, Model 1508395","AZEK, Product",,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Series,,,Mounting Type,,,Number of Wash Cycles,,,Voltage Rating,,,Amperage Rating,,,Material,,,Color,,,Sound Level,,,Depth With Door Open,,,Width,,,Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1508396,1x8-12' Slate Gray - Harvest Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TimberTech,AZEK,,1508396,,,"TimberTech, AZEK, Product, 1508396",AZEK PRODUCT 1508396,"AZEK, 1508396, Product","AZEK, Product, Model 1508396","AZEK, Product",,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Series,,,Mounting Type,,,Number of Wash Cycles,,,Voltage Rating,,,Amperage Rating,,,Material,,,Color,,,Sound Level,,,Depth With Door Open,,,Width,,,Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ADCR5117512BS,1x12-12' Brownstone - Harvest Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TimberTech,AZEK,,ADCR5117512BS,,,"TimberTech, AZEK, Product, ADCR5117512BS",AZEK PRODUCT ADCR5117512BS,"AZEK, ADCR5117512BS, Product","AZEK, Product, Model ADCR5117512BS","AZEK, Product",,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Series,,,Mounting Type,,,Number of Wash Cycles,,,Voltage Rating,,,Amperage Rating,,,Material,,,Color,,,Sound Level,,,Depth With Door Open,,,Width,,,Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ADCR5117512SG,1x12-12' Slate Gray - Harvest Azek PVC Fascia,TIMBERTECH,,,Parksite (6151),TimberTech,AZEK,,ADCR5117512SG,,,"TimberTech, AZEK, Product, ADCR5117512SG",AZEK PRODUCT ADCR5117512SG,"AZEK, ADCR5117512SG, Product","AZEK, Product, Model ADCR5117512SG","AZEK, Product",,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Series,,,Mounting Type,,,Number of Wash Cycles,,,Voltage Rating,,,Amperage Rating,,,Material,,,Color,,,Sound Level,,,Depth With Door Open,,,Width,,,Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543140908,1x8-12' Biscayne - Trex Lineage,TREX,,,U S Lumber (3073),Trex Company,Trex,,543140908,,Building Materials>Decking & Railing>Composite Decking,"Trex Company, Trex, Product, 543140908",TREX PRODUCT 543140908,"Trex, 543140908, Product","Trex, Product, Model 543140908","Trex, Product",,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Line,,,Profile,,,Length,,,Color,,,Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543142908,1x8-12' Carmel - Trex Lineage,TREX,,,U S Lumber (3073),Trex Company,Trex,,543142908,,Building Materials>Decking & Railing>Composite Decking,"Trex Company, Trex, Product, 543142908",TREX PRODUCT 543142908,"Trex, 543142908, Product","Trex, Product, Model 543142908","Trex, Product",,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Line,,,Profile,,,Length,,,Color,,,Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543143908,1x8-12' Jasper - Trex Lineage,TREX,,,U S Lumber (3073),Trex Company,Trex,,543143908,,Building Materials>Decking & Railing>Composite Decking,"Trex Company, Trex, Product, 543143908",TREX PRODUCT 543143908,"Trex, 543143908, Product","Trex, Product, Model 543143908","Trex, Product",,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Line,,,Profile,,,Length,,,Color,,,Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543140912,1x12-12' Biscayne - Trex Lineage,TREX,,,U S Lumber (3073),Trex Company,Trex,,543140912,,Building Materials>Decking & Railing>Composite Decking,"Trex Company, Trex, Product, 543140912",TREX PRODUCT 543140912,"Trex, 543140912, Product","Trex, Product, Model 543140912","Trex, Product",,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Line,,,Profile,,,Length,,,Color,,,Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543142912,1x12-12' Carmel - Trex Lineage,TREX,,,U S Lumber (3073),Trex Company,Trex,,543142912,,Building Materials>Decking & Railing>Composite Decking,"Trex Company, Trex, Product, 543142912",TREX PRODUCT 543142912,"Trex, 543142912, Product","Trex, Product, Model 543142912","Trex, Product",,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Line,,,Profile,,,Length,,,Color,,,Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543143912,1x12-12' Jasper - Trex Lineage,TREX,,,U S Lumber (3073),Trex Company,Trex,,543143912,,Building Materials>Decking & Railing>Composite Decking,"Trex Company, Trex, Product, 543143912",TREX PRODUCT 543143912,"Trex, 543143912, Product","Trex, Product, Model 543143912","Trex, Product",,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Product Line,,,Profile,,,Length,,,Color,,,Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1513715,1x12-12' Hatteras - Trex Lineage,TREX,,,Boise Cascade Building Materials (BOICA),Trex Company,Trex,,1513715,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"Trex Company Trex, Dishwasher, Professional Series, 1513715",DISHWASHER LEG 5 SST 120V 15A 50-1/4IN,"Trex, Professional Series, 1513715, Dishwasher, Leg Mounting, 5.0-Wash Cycle, Stainless Steel","Trex Dishwasher, Professional Series, 5 Wash Cycles, 120 V, 15 A, Leg Mounting, 24 in W x 24-1/4 in D, 50-1/4 in Depth With Door Open, 47 dBA Sound Level, Stainless Steel","Professional Series Dishwasher, Leg Mounting, Stainless Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwasher,Series,Professional Series,,Model,,,Number of Wash Cycles,5.0,,Voltage Rating,120,V,Amperage Rating,15,A,Mounting Type,Leg,,Plug Type,,,Size,24 in W x 24-1/4 in D,,Depth With Door Open,50-1/4,in,Minimum Height,,,Maximum Height,,,Sound Level,47,dBA,Material,Stainless Steel,,Color,Stainless Steel,,Additional Information,,,Width,,,Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1513716,1x12-12' Salt Flat - Trex Lineage,TREX,,,Boise Cascade Building Materials (BOICA),Trex Company,Trex,,1513716,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"Trex Company Trex, Dishwasher, Professional Series, 1513716",DISHWASHER LEG 5 SST 120V 15A 50-1/4IN,"Trex, Professional Series, 1513716, Dishwasher, Leg Mounting, 5.0-Wash Cycle, Stainless Steel","Trex Dishwasher, Professional Series, 5 Wash Cycles, 120 V, 15 A, Leg Mounting, 24 in W x 24-1/4 in D, 50-1/4 in Depth With Door Open, 47 dBA Sound Level, Stainless Steel","Professional Series Dishwasher, Leg Mounting, Stainless Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwasher,Series,Professional Series,,Model,,,Number of Wash Cycles,5.0,,Voltage Rating,120,V,Amperage Rating,15,A,Mounting Type,Leg,,Plug Type,,,Size,24 in W x 24-1/4 in D,,Depth With Door Open,50-1/4,in,Minimum Height,,,Maximum Height,,,Sound Level,47,dBA,Material,Stainless Steel,,Color,Stainless Steel,,Additional Information,,,Width,,,Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1513722,1x8-12' Honey Grove - Trex Enhance Naturals Fascia,TREX,,,Boise Cascade Building Materials (BOICA),Trex Company,Trex,,1513722,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"Trex Company Trex, Dishwasher, Professional Series, 1513722",DISHWASHER LEG 5 SST 120V 15A 50-1/4IN,"Trex, Professional Series, 1513722, Dishwasher, Leg Mounting, 5.0-Wash Cycle, Stainless Steel","Trex Dishwasher, Professional Series, 5 Wash Cycles, 120 V, 15 A, Leg Mounting, 24 in W x 24-1/4 in D, 50-1/4 in Depth With Door Open, 47 dBA Sound Level, Stainless Steel","Professional Series Dishwasher, Leg Mounting, Stainless Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwasher,Series,Professional Series,,Model,,,Number of Wash Cycles,5.0,,Voltage Rating,120,V,Amperage Rating,15,A,Mounting Type,Leg,,Plug Type,,,Size,24 in W x 24-1/4 in D,,Depth With Door Open,50-1/4,in,Minimum Height,,,Maximum Height,,,Sound Level,47,dBA,Material,Stainless Steel,,Color,Stainless Steel,,Additional Information,,,Width,,,Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
